id,pln_area_n
112,TOTAL
114,BEDOK
120,BUKIT TIMAH
117,BUKIT BATOK
118,BUKIT MERAH
121,CENTRAL WATER CATCHMENT
126,DOWNTOWN CORE
122,CHANGI
123,CHANGI BAY
132,LIM CHU KANG
116,BOON LAY
165,WESTERN WATER CATCHMENT
166,WOODLANDS
136,MARINE PARADE
138,NEWTON
139,NORTH-EASTERN ISLANDS
141,ORCHARD
143,PASIR RIS
145,PIONEER
146,PUNGGOL
147,QUEENSTOWN
151,SEMBAWANG
154,SIMPANG
159,TAMPINES
160,TANGLIN
163,TUAS
164,WESTERN ISLANDS
156,SOUTHERN ISLANDS
119,BUKIT PANJANG
115,BISHAN
113,ANG MO KIO
127,GEYLANG
157,STRAITS VIEW
129,JURONG EAST
128,HOUGANG
130,JURONG WEST
124,CHOA CHU KANG
131,KALLANG
133,MANDAI
161,TENGAH
134,MARINA EAST
135,MARINA SOUTH
137,MUSEUM
140,NOVENA
142,OUTRAM
144,PAYA LEBAR
148,RIVER VALLEY
149,ROCHOR
150,SELETAR
152,SENGKANG
153,SERANGOON
125,CLEMENTI
162,TOA PAYOH
155,SINGAPORE RIVER
158,SUNGEI KADUT
167,YISHUN
